Timestamp,Tag Status,Tag ID,Speed
2024-06-09 15:21:09,STAND BY,RFID IS READING,0.4
2024-06-09 15:21:09,STAND BY,RFID IS READING,0.9
2024-06-09 15:21:09,STAND BY,RFID IS READING,0.4
2024-06-09 15:21:10,STAND BY,RFID IS READING,0.9
2024-06-09 15:21:10,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:10,STAND BY,RFID IS READING,0.9
2024-06-09 15:21:10,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:10,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:10,STAND BY,RFID IS READING,2.2
2024-06-09 15:21:10,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:10,STAND BY,RFID IS READING,2.2
2024-06-09 15:21:10,STAND BY,RFID IS READING,2.2
2024-06-09 15:21:10,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:10,STAND BY,RFID IS READING,0.9
2024-06-09 15:21:10,STAND BY,RFID IS READING,0.9
2024-06-09 15:21:10,STAND BY,RFID IS READING,1.7
2024-06-09 15:21:10,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:10,STAND BY,RFID IS READING,1.7
2024-06-09 15:21:10,STAND BY,RFID IS READING,1.7
2024-06-09 15:21:10,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:10,STAND BY,RFID IS READING,2.2
2024-06-09 15:21:11,STAND BY,RFID IS READING,2.2
2024-06-09 15:21:11,STAND BY,RFID IS READING,1.7
2024-06-09 15:21:11,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:11,STAND BY,RFID IS READING,1.7
2024-06-09 15:21:11,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:11,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:11,STAND BY,RFID IS READING,0.9
2024-06-09 15:21:11,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:11,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:11,STAND BY,RFID IS READING,0.9
2024-06-09 15:21:11,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:11,STAND BY,RFID IS READING,0.4
2024-06-09 15:21:11,STAND BY,RFID IS READING,0.9
2024-06-09 15:21:11,STAND BY,RFID IS READING,0.4
2024-06-09 15:21:11,STAND BY,RFID IS READING,0.4
2024-06-09 15:21:11,STAND BY,RFID IS READING,0.4
2024-06-09 15:21:11,STAND BY,RFID IS READING,0.4
2024-06-09 15:21:11,STAND BY,RFID IS READING,0.4
2024-06-09 15:21:12,STAND BY,RFID IS READING,0.4
2024-06-09 15:21:15,STAND BY,RFID IS READING,0.4
2024-06-09 15:21:15,STAND BY,RFID IS READING,0.4
2024-06-09 15:21:15,STAND BY,RFID IS READING,0.4
2024-06-09 15:21:15,STAND BY,RFID IS READING,0.4
2024-06-09 15:21:15,STAND BY,RFID IS READING,0.9
2024-06-09 15:21:15,STAND BY,RFID IS READING,0.9
2024-06-09 15:21:15,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:15,STAND BY,RFID IS READING,1.7
2024-06-09 15:21:15,STAND BY,RFID IS READING,1.7
2024-06-09 15:21:15,STAND BY,RFID IS READING,1.3
2024-06-09 15:21:15,STAND BY,RFID IS READING,2.2
2024-06-09 15:21:16,STAND BY,RFID IS READING,2.2
2024-06-09 15:21:16,STAND BY,RFID IS READING,2.6
2024-06-09 15:21:16,STAND BY,RFID IS READING,2.6
2024-06-09 15:21:16,STAND BY,RFID IS READING,2.6
2024-06-09 15:21:16,STAND BY,RFID IS READING,2.6
2024-06-09 15:21:16,STAND BY,RFID IS READING,2.2
2024-06-09 15:21:16,STAND BY,RFID IS READING,1.7
2024-06-09 15:21:16,STAND BY,RFID IS READING,3.1
2024-06-09 15:21:16,STAND BY,RFID IS READING,3.5
2024-06-09 15:21:16,STAND BY,RFID IS READING,2.6
2024-06-09 15:21:16,STAND BY,RFID IS READING,3.5
2024-06-09 15:21:16,STAND BY,RFID IS READING,3.9
2024-06-09 15:21:16,STAND BY,RFID IS READING,3.9
2024-06-09 15:21:16,STAND BY,RFID IS READING,5.7
2024-06-09 15:21:16,STAND BY,RFID IS READING,4.8
2024-06-09 15:21:16,STAND BY,RFID IS READING,4.8
2024-06-09 15:21:16,STAND BY,RFID IS READING,5.7
2024-06-09 15:21:16,STAND BY,RFID IS READING,4.8
2024-06-09 15:21:16,STAND BY,RFID IS READING,5.7
2024-06-09 15:21:17,STAND BY,RFID IS READING,4.8
2024-06-09 15:21:17,STAND BY,RFID IS READING,7.4
2024-06-09 15:21:17,STAND BY,RFID IS READING,7.0
2024-06-09 15:21:17,STAND BY,RFID IS READING,6.6
2024-06-09 15:21:17,STAND BY,RFID IS READING,4.8
2024-06-09 15:21:17,STAND BY,RFID IS READING,7.0
2024-06-09 15:21:17,STAND BY,RFID IS READING,5.2
2024-06-09 15:21:17,STAND BY,RFID IS READING,5.2
2024-06-09 15:21:17,STAND BY,RFID IS READING,6.6
2024-06-09 15:21:17,STAND BY,RFID IS READING,7.0
2024-06-09 15:21:17,STAND BY,RFID IS READING,7.4
2024-06-09 15:21:17,STAND BY,RFID IS READING,8.3
2024-06-09 15:21:17,STAND BY,RFID IS READING,6.6
2024-06-09 15:21:17,STAND BY,RFID IS READING,7.9
2024-06-09 15:21:17,STAND BY,RFID IS READING,8.3
2024-06-09 15:21:17,STAND BY,RFID IS READING,10.0
2024-06-09 15:21:17,STAND BY,RFID IS READING,8.7
2024-06-09 15:21:17,STAND BY,RFID IS READING,9.2
2024-06-09 15:21:18,STAND BY,RFID IS READING,8.7
2024-06-09 15:21:18,STAND BY,RFID IS READING,11.4
2024-06-09 15:21:18,STAND BY,RFID IS READING,9.6
2024-06-09 15:21:18,STAND BY,RFID IS READING,10.0
2024-06-09 15:21:18,STAND BY,RFID IS READING,10.5
2024-06-09 15:21:18,STAND BY,RFID IS READING,10.0
2024-06-09 15:21:18,STAND BY,RFID IS READING,10.9
2024-06-09 15:21:18,STAND BY,RFID IS READING,7.9
2024-06-09 15:21:18,STAND BY,RFID IS READING,14.0
2024-06-09 15:21:18,STAND BY,RFID IS READING,11.4
2024-06-09 15:21:18,STAND BY,RFID IS READING,13.5
2024-06-09 15:21:18,STAND BY,RFID IS READING,11.8
2024-06-09 15:21:18,STAND BY,RFID IS READING,14.9
2024-06-09 15:21:18,STAND BY,RFID IS READING,8.7
2024-06-09 15:21:18,STAND BY,RFID IS READING,9.2
2024-06-09 15:21:18,STAND BY,RFID IS READING,14.0
2024-06-09 15:21:18,STAND BY,RFID IS READING,15.7
2024-06-09 15:21:18,STAND BY,RFID IS READING,13.1
2024-06-09 15:21:19,STAND BY,RFID IS READING,12.2
2024-06-09 15:21:19,STAND BY,RFID IS READING,16.2
2024-06-09 15:21:19,STAND BY,RFID IS READING,13.5
2024-06-09 15:21:19,STAND BY,RFID IS READING,13.1
2024-06-09 15:21:19,STAND BY,RFID IS READING,16.6
2024-06-09 15:21:19,STAND BY,RFID IS READING,13.5
2024-06-09 15:21:19,STAND BY,RFID IS READING,13.5
2024-06-09 15:21:19,STAND BY,RFID IS READING,16.6
2024-06-09 15:21:19,STAND BY,RFID IS READING,17.5
2024-06-09 15:21:19,STAND BY,RFID IS READING,14.9
2024-06-09 15:21:19,STAND BY,RFID IS READING,14.0
2024-06-09 15:21:19,STAND BY,RFID IS READING,13.5
2024-06-09 15:21:19,STAND BY,RFID IS READING,14.9
2024-06-09 15:21:19,STAND BY,RFID IS READING,14.4
2024-06-09 15:21:19,STAND BY,RFID IS READING,14.0
2024-06-09 15:21:19,STAND BY,RFID IS READING,18.3
2024-06-09 15:21:19,STAND BY,RFID IS READING,12.2
2024-06-09 15:21:19,STAND BY,RFID IS READING,12.2
2024-06-09 15:21:20,STAND BY,RFID IS READING,16.6
2024-06-09 15:21:20,STAND BY,RFID IS READING,13.5
2024-06-09 15:21:20,STAND BY,RFID IS READING,17.9
2024-06-09 15:21:20,STAND BY,RFID IS READING,15.3
2024-06-09 15:21:20,STAND BY,RFID IS READING,11.4
2024-06-09 15:21:20,STAND BY,RFID IS READING,15.3
2024-06-09 15:21:20,STAND BY,RFID IS READING,14.4
2024-06-09 15:21:20,STAND BY,RFID IS READING,11.8
2024-06-09 15:21:20,STAND BY,RFID IS READING,11.8
2024-06-09 15:21:20,STAND BY,RFID IS READING,15.3
2024-06-09 15:21:20,STAND BY,RFID IS READING,19.2
2024-06-09 15:21:20,STAND BY,RFID IS READING,10.5
